Hours	Heading	Speed	Inferred WindDir
0.01	230	5.76	277
0.02	231	5.84	278
0.03	229	5.56	276
0.04	223	6.06	270
0.05	225	6.08	272
0.06	224	5.86	271
0.07	229	5.66	276
0.08	345	6.04	298
0.09	341	6.18	294
0.10	340	6.20	293
0.11	335	6.16	288
0.12	342	6.14	295
0.13	340	6.04	293
0.13	339	5.92	292
0.14	339	6.02	292
0.15	326	5.90	279
0.16	331	5.92	284
0.17	337	6.16	290
0.18	331	6.02	284
0.18	329	5.78	282
0.19	328	6.18	281
0.22	231	5.35	278
0.22	231	5.37	278
0.23	235	5.33	282
0.43	357	5.76	310
0.44	262	5.88	309
0.45	265	6.00	312
0.46	265	5.98	312
0.47	259	5.43	306
0.47	262	5.37	309
0.48	263	5.72	310
0.49	264	5.49	311
0.58	352	5.70	305
0.60	253	5.33	300
0.61	242	6.47	289
0.62	239	6.47	286
0.63	234	6.53	281
0.02	230	5.76	277
0.02	231	5.84	278
0.03	229	5.56	276
0.04	223	6.06	270
0.05	225	6.08	272
0.06	224	5.86	271
0.07	229	5.66	276
0.08	345	6.04	298
0.09	341	6.18	294
0.10	340	6.20	293
0.11	335	6.16	288
0.12	342	6.14	295
0.13	340	6.04	293
0.13	339	5.92	292
0.14	339	6.02	292
0.15	326	5.90	279
0.16	331	5.92	284
0.17	337	6.16	290
0.18	331	6.02	284
0.18	329	5.78	282
0.19	328	6.18	281
0.22	231	5.35	278
0.22	231	5.37	278
0.23	235	5.33	282
0.43	357	5.76	310
0.44	262	5.88	309
0.45	265	6.00	312
0.46	265	5.98	312
0.47	259	5.43	306
0.47	262	5.37	309
0.48	263	5.72	310
0.49	264	5.49	311
0.58	352	5.70	305
0.60	253	5.33	300
0.61	242	6.47	289
0.62	239	6.47	286
0.63	234	6.53	281